city,state_id,state,county,lat,long,population,density,military,incorporated,capital,timezone,ranking,zips
Reno,NV,Nevada,Washoe,39.5497,-119.8483,445020,907,FALSE,TRUE,FALSE,America/Los_Angeles,2,18
Harrisburg,PA,Pennsylvania,Dauphin,40.2752,-76.8843,442289,2343,FALSE,TRUE,TRUE,America/New_York,2,18
Charleston,WV,West Virginia,Kanawha,38.3484,-81.6323,138706,570,FALSE,TRUE,TRUE,America/New_York,2,34
Little Rock,AR,Arkansas,Pulaski,34.7256,-92.3576,439815,634,FALSE,TRUE,TRUE,America/Chicago,2,22
Oakland,CA,California,Alameda,37.7903,-122.2165,433031,2991,FALSE,TRUE,FALSE,America/Los_Angeles,2,30
Durham,NC,North Carolina,Durham,35.9794,-78.9031,424700,959,FALSE,TRUE,FALSE,America/New_York,2,14
Winston-Salem,NC,North Carolina,Forsyth,36.1029,-80.2611,422269,721,FALSE,TRUE,FALSE,America/New_York,2,26
Bonita Springs,FL,Florida,Lee,26.3559,-81.7861,421291,600,FALSE,TRUE,FALSE,America/New_York,2,3
Indio,CA,California,Riverside,33.7346,-116.2346,417059,1066,FALSE,TRUE,FALSE,America/Los_Angeles,2,3
Palm Coast,FL,Florida,Flagler,29.5392,-81.246,417007,364,FALSE,TRUE,FALSE,America/New_York,2,5
Chattanooga,TN,Tennessee,Hamilton,35.0657,-85.2488,415501,493,FALSE,TRUE,FALSE,America/New_York,2,22
Spokane,WA,Washington,Spokane,47.6671,-117.433,412275,1247,FALSE,TRUE,FALSE,America/Los_Angeles,2,19
Syracuse,NY,New York,Onondaga,43.0409,-76.1438,404223,2195,FALSE,TRUE,FALSE,America/New_York,2,19
Lancaster,PA,Pennsylvania,Lancaster,40.0421,-76.3012,401524,3166,FALSE,TRUE,FALSE,America/New_York,2,5
Arlington,TX,Texas,Tarrant,32.6998,-97.125,398854,1607,FALSE,TRUE,FALSE,America/Chicago,2,20
Stockton,CA,California,San Joaquin,37.9765,-121.3109,397264,1941,FALSE,TRUE,FALSE,America/Los_Angeles,2,17
Poughkeepsie,NY,New York,Dutchess,41.6949,-73.921,394760,2290,FALSE,TRUE,FALSE,America/New_York,2,3
Augusta,GA,Georgia,Richmond,33.3645,-82.0708,390809,252,FALSE,TRUE,FALSE,America/New_York,2,15
Boise,ID,Idaho,Ada,43.6007,-116.2312,389280,1056,FALSE,TRUE,TRUE,America/Boise,2,22
Oxnard,CA,California,Ventura,34.1963,-119.1815,387647,3040,FALSE,TRUE,FALSE,America/Los_Angeles,2,7
Scranton,PA,Pennsylvania,Lackawanna,41.4044,-75.6649,384250,1169,FALSE,TRUE,FALSE,America/New_York,2,9
Modesto,CA,California,Stanislaus,37.6374,-121.0028,383134,1933,FALSE,TRUE,FALSE,America/Los_Angeles,2,9
Kissimmee,FL,Florida,Osceola,28.3042,-81.4164,382720,1349,FALSE,TRUE,FALSE,America/New_York,2,5
Aurora,CO,Colorado,Adams,39.7087,-104.7273,379289,949,FALSE,TRUE,FALSE,America/Denver,2,19
Youngstown,OH,Ohio,Mahoning,41.0993,-80.6463,378732,744,FALSE,TRUE,FALSE,America/New_York,2,11
Fayetteville,AR,Arkansas,Washington,36.0713,-94.166,351246,625,FALSE,TRUE,FALSE,America/Chicago,2,4
Anaheim,CA,California,Orange,33.839,-117.8572,350365,2688,FALSE,TRUE,FALSE,America/Los_Angeles,2,16
Pensacola,FL,Florida,Escambia,30.4427,-87.1886,346921,903,FALSE,TRUE,FALSE,America/Chicago,2,8
Victorville,CA,California,San Bernardino,34.5277,-117.3536,346789,641,FALSE,TRUE,FALSE,America/Los_Angeles,2,4
Greensboro,NC,North Carolina,Guilford,36.0956,-79.8269,343090,887,FALSE,TRUE,FALSE,America/New_York,2,25
